Fecha de la actividad,Tipo de actividad,Distancia,Distancia.1,Tiempo en movimiento,Tiempo transcurrido,Tiempo transcurrido.1,Desnivel positivo,Ritmo cardiaco promedio,Velocidad promedio
"14 feb 2021, 16:41:55",Bicicleta,"10,72",10723.0,4060.0,9952,9952.0,94.5,,2.641
"13 feb 2021, 13:36:38",Carrera,"3,40",3402.5,9484.0,11021,11021.0,36.5,,0.359
"12 feb 2021, 19:59:27",Bicicleta,"33,15",33150.4,9461.0,11583,11583.0,530.4,,3.504
"11 feb 2021, 23:40:34",Bicicleta,"2,32",2328.2,1046.0,7225,7225.0,14.8,,2.226
"10 feb 2021, 21:32:21",Bicicleta,"3,80",3799.2,1101.0,1373,1373.0,41.3,,3.451
"9 feb 2021, 20:35:29",Bicicleta,"8,15",8155.6,4187.0,13072,13072.0,85.3,,1.948
"8 feb 2021, 23:11:40",Bicicleta,"6,16",6167.9,2443.0,15884,15884.0,70.6,,2.525
"6 feb 2021, 12:51:55",Bicicleta,"58,45",58452.1,10036.0,11746,11746.0,708.5,,5.824
"5 feb 2021, 23:43:31",Bicicleta,"2,34",2339.5,1011.0,6603,6603.0,18.0,,2.314
"5 feb 2021, 21:22:45",Carrera,"1,58",1584.4,897.0,6285,6285.0,0.0,,1.766
"4 feb 2021, 23:43:35",Bicicleta,"2,32",2323.0,1003.0,5585,5585.0,18.0,,2.316
"3 feb 2021, 21:42:00",Bicicleta,"7,22",7225.0,2427.0,16191,16191.0,82.5,,2.977
"3 feb 2021, 12:08:10",Carrera,"8,02",8021.6,3235.0,3318,3318.0,48.2,,2.48
"2 feb 2021, 22:41:19",Bicicleta,"51,45",51452.4,9103.0,11663,11663.0,626.2,,5.652
"1 feb 2021, 23:07:43",Bicicleta,"5,99",5994.1,2000.0,9280,9280.0,67.4,,2.997
"31 ene 2021, 15:18:14",Bicicleta,"43,53",43531.4,12754.0,23895,23895.0,401.9,,3.413
"31 ene 2021, 2:17:53",Bicicleta,"7,82",7822.4,1706.0,1881,1881.0,51.1,,4.585
"29 ene 2021, 21:16:21",Bicicleta,"7,92",7919.2,2844.0,6167,6167.0,154.4,,2.785
